Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,League,Season,Result,home_xg,away_xg,elo_home_before,elo_away_before,elo_home_rating,elo_away_rating,elo_diff,home_avg_GF,away_avg_GF,diff_avg_GF,home_avg_GA,away_avg_GA,diff_avg_GA,home_avg_Shots,away_avg_Shots,diff_avg_Shots,home_avg_ShotsAgainst,away_avg_ShotsAgainst,diff_avg_ShotsAgainst,home_avg_SoT,away_avg_SoT,diff_avg_SoT,home_avg_SoTAgainst,away_avg_SoTAgainst,diff_avg_SoTAgainst,home_avg_Corners,away_avg_Corners,diff_avg_Corners,home_avg_CornersAgainst,away_avg_CornersAgainst,diff_avg_CornersAgainst,home_avg_Fouls,away_avg_Fouls,diff_avg_Fouls,home_avg_FoulsAgainst,away_avg_FoulsAgainst,diff_avg_FoulsAgainst,home_avg_xG,away_avg_xG,diff_avg_xG,home_avg_xGA,away_avg_xGA,diff_avg_xGA,home_avg_xG_overperf,away_avg_xG_overperf,diff_avg_xG_overperf,home_Form,away_Form,diff_Form,odds_prob_H,odds_prob_D,odds_prob_A,norm_prob_H,norm_prob_D,norm_prob_A,odds_spread,h2h_home_wins,h2h_draws,h2h_total_goals_avg
2015-09-26,West Ham,Norwich,2.0,2.0,D,1.0,1.0,D,19.0,16.0,7.0,7.0,7.0,17.0,7.0,5.0,0.0,0.0,0.0,0.0,2.25,3.5,3.4,Premier League,1516,1,2.60407,1.38603,1613.1710905745074,1495.4971671784883,1548.1710905745074,1495.4971671784883,117.67392339601906,1.97682874918406,1.319343851994219,0.6574848971898408,2.0129747425672107,1.692213391480384,0.3207613510868268,12.214806377901304,10.5400643694463,1.674742008455004,13.457213813656196,17.592802993752823,-4.135589180096627,3.305728056812139,2.966180449982301,0.339547606829838,5.706134865078238,5.752139487245123,-0.046004622166885,6.298745791841348,3.9486586879638894,2.350087103877458,5.049798921392289,6.081943350907029,-1.03214442951474,8.94860880388233,10.516597900228614,-1.5679890963462846,11.416293100954531,5.064272403791295,6.352020697163238,1.226915583987188,0.959185415154106,0.2677301688330821,1.8062700569717245,1.7227992262226028,0.0834708307491216,0.7499131651968719,0.360158436840113,0.3897547283567589,0.9818505496736224,1.319343851994219,-0.3374933023205968,0.4444444444444444,0.2857142857142857,0.2941176470588235,0.4339106654512306,0.2789425706472197,0.2871467639015497,0.1467639015496809,,,
2015-09-26,Tottenham,Man City,4.0,1.0,H,1.0,1.0,D,15.0,22.0,8.0,8.0,17.0,6.0,5.0,9.0,5.0,1.0,0.0,0.0,4.2,3.8,1.91,Premier League,1516,2,2.30799,1.57842,1577.715573363912,1571.1564155864394,1512.715573363912,1571.1564155864394,6.559157777472592,0.9977464946532912,2.01786498087798,-1.020118486224689,0.6725588749417161,0.0,0.6725588749417161,18.402134604526008,18.889975994278014,-0.4878413897520097,11.993457595570815,9.548554772066248,2.4449028235045684,6.342768555119299,7.762518596115176,-1.4197500409958763,4.668933814892445,1.6487842999581,3.020149514934345,5.351529436128504,5.732286002839117,-0.3807565667106125,3.3216538450917183,5.929795193313763,-2.6081413482220444,14.682995284613968,9.78794025863047,4.895055025983497,10.31422262813382,9.892374634711592,0.4218479934222277,1.5751248497113437,2.225947861198294,-0.6508230114869507,1.3529667517637662,0.5780855363725412,0.774881215391225,-0.5773783550580521,-0.208082880320314,-0.369295474737738,1.6759000832281397,3.036073180615529,-1.3601730973873896,0.238095238095238,0.2631578947368421,0.5235602094240838,0.2323303457106274,0.2567861715749039,0.5108834827144687,-0.2785531370038413,,,
2015-09-26,Stoke,Bournemouth,2.0,1.0,H,1.0,0.0,H,8.0,11.0,5.0,6.0,13.0,11.0,3.0,7.0,1.0,0.0,0.0,0.0,2.55,3.3,3.0,Premier League,1516,2,1.94483,0.871678,1525.2065540834462,1490.8129571045183,1460.2065540834462,1490.8129571045183,34.39359697892769,0.682490576832036,1.6690060683475771,-0.9865154915155412,1.3268025218764223,2.338589775560889,-1.0117872536844672,10.30735044368931,11.699375846707616,-1.3920254030183052,11.707817713683982,13.317141293936205,-1.6093235802522212,3.321514078451166,3.675522176642421,-0.354008098191255,4.339321836846273,3.3384119686239644,1.0009098682223088,3.971575374992567,5.346086720708411,-1.374511345715844,4.680383682339105,4.991843292733482,-0.311459610394377,6.687276692075135,13.356723973935855,-6.669447281860722,12.320927103178128,9.665304898739215,2.655622204438909,0.9138749657473684,1.2396489566464484,-0.3257739908990799,0.8106876271081035,1.658496331873165,-0.8478087047650614,-0.2313843889153325,0.4293571117011289,-0.6607415006164615,0.341245288416018,1.0049916421766116,-0.6637463537605937,0.3921568627450981,0.303030303030303,0.3333333333333333,0.3812824956672444,0.2946273830155979,0.3240901213171577,0.0571923743500867,,,
2015-09-26,Newcastle,Chelsea,2.0,2.0,D,1.0,0.0,H,11.0,16.0,5.0,4.0,12.0,15.0,4.0,6.0,1.0,2.0,0.0,0.0,6.0,4.2,1.62,Premier League,1516,1,0.702109,1.30593,1513.8015011972684,1487.3075258758345,1448.8015011972684,1487.3075258758345,26.493975321433936,0.9997212823759806,1.317204035567846,-0.3174827531918655,1.6686611003746843,2.657176114951354,-0.9885150145766696,8.327722201310827,13.32501736042984,-4.9972951591190125,16.701896731285764,15.633104292193018,1.0687924390927463,2.998606411879903,3.32443708716024,-0.3258306752803368,6.014044591197899,7.643935023732246,-1.6298904325343475,3.6652730785465697,7.317784308837445,-3.6525112302908753,6.680990208734156,6.675817903191548,0.005172305542608,10.642981410741276,12.35588349170789,-1.7129020809666144,10.681506332852448,13.261135790822731,-2.5796294579702845,0.9093798956650126,1.0473047308590402,-0.1379248351940275,1.6477310898515345,1.5917187601455671,0.0560123297059673,0.090341386710968,0.2698993047088058,-0.1795579179978378,0.3333333333333333,0.982478237981589,-0.6491449046482556,0.1666666666666666,0.238095238095238,0.6172839506172839,0.1630716134598792,0.2329594477998274,0.6039689387402933,-0.4408973252804141,,,
2015-09-26,Man United,Sunderland,3.0,0.0,H,1.0,0.0,H,12.0,9.0,7.0,4.0,12.0,17.0,5.0,2.0,0.0,3.0,0.0,0.0,1.2,7.5,16.0,Premier League,1516,2,2.8971,0.832139,1603.510884350696,1439.1115751349034,1538.510884350696,1439.1115751349034,164.39930921579253,1.3289388609933483,1.3293493474303488,-0.0004104864370004,0.3348046229883548,2.6807292925231807,-2.345924669534826,12.589807287744163,8.60814888132403,3.9816584064201326,8.034271824675594,18.450826839010936,-10.416555014335342,3.9701351428989953,3.3174520578828144,0.6526830850161809,2.6725518252867526,6.370493866600245,-3.697942041313492,5.2924522578336175,3.310507416633301,1.9819448412003164,3.6886243305977686,6.045211253246553,-2.356586922648784,10.943454083893116,15.231155707542124,-4.287701623649006,11.384877031222803,12.42375583982644,-1.0388788086036342,1.1067811237229102,0.8894230684579103,0.2173580552649998,0.7158250351572851,1.836604772117357,-1.1207797369600718,0.222157737270438,0.4399262789724384,-0.2177685417020003,2.325755062898221,0.331341340381841,1.99441372251638,0.8333333333333334,0.1333333333333333,0.0625,0.8097165991902834,0.1295546558704453,0.0607287449392712,0.7489878542510121,,,
2015-09-26,Liverpool,Aston Villa,3.0,2.0,H,1.0,0.0,H,21.0,10.0,12.0,4.0,8.0,13.0,11.0,1.0,0.0,0.0,0.0,0.0,1.53,4.33,7.0,Premier League,1516,2,1.78331,0.892054,1545.028608258206,1469.7046146013872,1480.028608258206,1469.7046146013872,75.32399365681886,0.66274574348104,1.3470606476499765,-0.6843149041689365,1.3387083044262056,1.645706806049687,-0.3069985016234815,17.905560253655366,9.750033917550391,8.155526336104975,10.729476831840977,15.850432463615345,-5.120955631774367,3.3190375715807847,3.0274546286332864,0.2915829429474983,3.0151850408759477,4.621898433366909,-1.606713392490962,5.635887288543716,4.036463837284932,1.5994234512587848,5.702442551537455,5.300639332401031,0.4018032191364247,10.605877865604766,13.768052334853683,-3.1621744692489173,14.082105430307085,10.934611998135392,3.1474934321716894,1.5299412725144963,0.8405259035249788,0.6894153689895177,0.666414434869379,1.144769349310421,-0.4783549144410419,-0.8671955290334566,0.506534744124998,-1.3737302731584546,1.3235718228082365,1.0,0.3235718228082365,0.6535947712418301,0.23094688221709,0.1428571428571428,0.6361646262244228,0.2247879626150963,0.1390474111604809,0.4971172150639418,,,
2015-09-26,Leicester,Arsenal,2.0,5.0,A,1.0,2.0,A,16.0,26.0,7.0,12.0,9.0,12.0,6.0,5.0,1.0,1.0,0.0,0.0,4.5,4.0,1.8,Premier League,1516,0,1.38516,3.89623,1600.603797872081,1502.4327431828067,1535.603797872081,1502.4327431828067,98.17105468927434,2.65868193486461,1.00607331382012,1.65260862104449,1.6726955355224475,1.008782347846639,0.6639131876758089,17.59872102636679,16.96364270032375,0.6350783260430397,13.393774688701312,11.433153660708562,1.960621027992751,5.31736386972922,5.990660184239236,-0.6732963145100168,5.020141464129691,3.695122301337636,1.3250191627920551,3.988014522298871,6.633070008036306,-2.645055485737435,5.024166364359847,3.672644456737401,1.351521907622446,9.303336119088335,10.291435234719891,-0.9880991156315576,14.721011301263234,13.73105694500329,0.9899543562599432,1.57794978817599,1.720396512391398,-0.1424467242154081,1.4414088703555523,1.0311084681654457,0.4103004021901066,1.08073214668862,-0.7143231985712782,1.795055345259898,2.3253486015312763,2.0043342735874887,0.3210143279437876,0.2222222222222222,0.25,0.5555555555555556,0.2162162162162162,0.2432432432432432,0.5405405405405406,-0.3243243243243243,,,
2015-09-26,Southampton,Swansea,3.0,1.0,H,1.0,0.0,H,18.0,11.0,7.0,4.0,18.0,14.0,4.0,3.0,3.0,1.0,0.0,0.0,2.05,3.4,4.2,Premier League,1516,2,1.55418,1.41962,1546.3457294575985,1513.4782917110092,1481.3457294575985,1513.4782917110092,32.8674377465893,1.6786111037077565,0.9921173028351988,0.6864938008725577,1.9827042947838596,1.3439573057427268,0.6387469890411326,18.42295178269753,15.155431511769017,3.26752027092852,8.608592346321865,12.79075883705512,-4.182166490733255,6.714163042382825,7.254796104499512,-0.5406330621166866,2.649300633179804,3.6981160093680354,-1.0488153761882315,6.696422244601315,4.960876256990185,1.73554598761113,5.970892511556877,2.6934378849535565,3.2774546266033204,7.035481595563019,12.893621938547277,-5.858140342984256,11.590874671481394,14.15723181119707,-2.5663571397156755,1.9289024612515624,1.538317508569394,0.3905849526821685,1.219403531213926,0.9375152054815036,0.2818883257324224,-0.2502913575438059,-0.5462002057341953,0.2959088481903893,1.0002110293361506,0.6587839695018655,0.3414270598342851,0.4878048780487805,0.2941176470588235,0.238095238095238,0.478231748158071,0.2883456128600133,0.2334226389819155,0.2448091091761554,,,
2015-09-27,Watford,Crystal Palace,0.0,1.0,A,0.0,0.0,D,15.0,16.0,2.0,3.0,17.0,22.0,6.0,4.0,4.0,4.0,0.0,0.0,2.5,3.3,3.1,Premier League,1516,0,0.685939,2.33566,1575.6964547101338,1506.703320517282,1510.6964547101338,1506.703320517282,68.99313419285181,0.3385807764286305,1.66504627627163,-1.3264654998429994,0.0,1.0000855289646342,-1.0000855289646342,15.253162833108746,11.998206195535642,3.254956637573104,9.410899398839131,21.671796980866148,-12.260897582027017,3.6689483885410974,5.664718406516016,-1.9957700179749176,2.6808920666531595,7.002949681520953,-4.322057614867793,2.6310299983856718,5.33130310574378,-2.7002731073581088,3.020170149817765,4.667992009698854,-1.6478218598810883,11.256721698573784,15.329190910715324,-4.07246921214154,11.719180783663996,10.667436427348376,1.05174435631562,1.1669636639416596,1.6122884858911466,-0.4453248219494869,0.6290762632263315,1.1421507428623712,-0.5130744796360397,-0.8283828875130291,0.0527577903804833,-0.8811406778935125,1.6707278212736176,1.997569414407445,-0.3268415931338273,0.4,0.303030303030303,0.3225806451612903,0.3900114372855509,0.2954632100648113,0.3145253526496378,0.0754860846359131,,,
2015-09-28,West Brom,Everton,2.0,3.0,A,1.0,0.0,H,9.0,12.0,4.0,4.0,9.0,8.0,6.0,4.0,0.0,3.0,0.0,0.0,3.1,3.3,2.5,Premier League,1516,0,1.27511,2.30159,1553.20523608333,1519.5099591561514,1488.20523608333,1519.5099591561514,33.69527692717861,0.6593406208654086,1.0,-0.3406593791345914,2.011111170113624,0.0,2.011111170113624,10.600088339107776,11.701514633994284,-1.101426294886508,16.076002769661045,16.33812993692228,-0.2621271672612337,2.976567739590044,2.99996409302882,-0.0233963534387764,5.357693927073066,4.336553415835103,1.021140511237963,5.96487932477024,5.00796319784796,0.9569161269222805,6.033228534703071,5.672855251543577,0.3603732831594941,8.626428845530095,10.014868158765358,-1.3884393132352637,8.718413818225779,14.33812993692228,-5.6197161186965,0.7510477792295465,1.2924370480427891,-0.5413892688132427,1.6620781732780128,1.310198823123649,0.3518793501543638,-0.0917071583641379,-0.2924370480427892,0.2007298896786513,0.3318792103271513,1.6676530896548665,-1.3357738793277152,0.3225806451612903,0.303030303030303,0.4,0.3145253526496378,0.2954632100648113,0.3900114372855509,-0.0754860846359131,,,
